idname,roottype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
63,sum_root,0.2664198,1.31794582,1.92665129,2.23687501,2.31611388,2.27960562,2.23071987,2.21098931,2.25269146,2.20304712,2.22194642,2.2286557,2.22952429,2.33080112
64,Lateralroot,0,0,0,0,0,2.105765674,8.93142336,12.91010101,16.7978722,24.65186911,30.28538947,24.02640237,33.47018818,39.40880645
64,primaryroot,4.4091467,10.9061645,14.691981,18.4482255,18.817478,20.92048,21.665797,23.758733,24.482218,26.163941,26.93454362,27.32459679,26.4105823,27.31831831
64,sum_root,4.4091467,10.9061645,14.691981,18.4482255,18.817478,23.02624567,30.59722036,36.66883401,41.2800902,50.81581011,57.21993309,51.35099916,59.88077048,66.72712475
64,Lateralroot,0,0,0,0,1.04556895,5.7879284,8.39531105,14.38249906,22.49099459,21.39,20.28699266,24.4,28.50466798,28.50466798
64,primaryroot,5.94155056,19.6885088,30.2698154,34.6287144,39.6132545,49.6979295,55.273618,60.797682,64.999131,64.78,64.558978,65.96,67.366846,67.366846
64,sum_root,5.94155056,19.6885088,30.2698154,34.6287144,40.65882345,55.4858579,63.66892905,75.18018106,87.49012559,0,84.84597066,0,95.87151398,95.87151398
64,Lateralroot,0,0,0,0,0,0.09926724,0.16300803,0.58442908,7.263718525,16.15510915,26.17007159,29.72370999,46.61849649,35.65651321
64,primaryroot,0.06516468,0.95197101,3.93953628,7.61154466,11.19768327,16.87296923,29.4858537,23.80492807,25.16850975,29.7160182,32.78908663,37.8732976,28.85692062,37.56733814
64,sum_root,0.06516468,0.95197101,3.93953628,7.61154466,11.19768327,16.97223647,29.64886173,24.38935715,32.43222828,45.87112735,58.95915822,67.59700759,75.47541711,73.22385135
68,Lateralroot,0,0,0,0,1.540187024,4.158852404,7.80492524,13.25245053,16.48061966,28.42586009,29.60207046,29.36545778,30.56576933,30.56576933
68,primaryroot,0,0,2.5998578,7.6265697,13.045749,16.7422151,21.202111,28.331417,32.142891,35.534935,36.226885,36.212872,36.937699,36.937699
68,sum_root,0,0,2.5998578,7.6265697,14.58593602,20.9010675,29.00703624,41.58386753,48.62351066,63.96079509,65.82895546,65.57832978,67.50346833,67.50346833
68,Lateralroot,0,0,0,0,0.14384201,3.34432327,2.7513125,3.362859955,5.99674626,14.75618206,20.48384515,33.24987161,44.96520774,44.96520774
68,primaryroot,0,0,2.8850692,2.6843492,6.3344602,8.997566,10.2058423,12.3820934,14.8453596,17.8805125,19.8987245,18.2386907,22.90753205,22.90753205
68,sum_root,0,0,2.8850692,2.6843492,6.47830221,12.34188927,12.9571548,15.74495336,20.84210586,32.63669456,40.38256965,51.48856231,67.87273979,67.87273979
68,Lateralroot,0,0,0,0,0,0.07527074,0.84184177,0.540186042,1.919846752,8.519566821,17.47529162,30.80963564,44.48298401,44.48298401
68,primaryroot,0,0,2.78420925,10.29312171,14.08288484,17.63205157,24.63583041,29.49390471,35.35989592,39.98704741,41.86652076,44.51070804,46.8305526,46.8305526
68,sum_root,0,0,2.78420925,10.29312171,14.08288484,17.70732231,25.47767218,30.03409075,37.27974267,48.50661423,59.34181238,75.32034368,91.31353661,91.31353661
72,Lateralroot,0,0,0,0,0,0.41788116,0.37677124,0.9348212,1.1278863,1.1738188,1.094733,1.3655337,1.2628275,1.2547196
72,primaryroot,1.40016089,2.33098836,2.46218472,2.75667381,3.65528701,5.433902,7.43976026,12.8553502,14.4022849,15.3600844,16.48379584,17.1838453,16.64940633,17.2527857
72,sum_root,1.40016089,2.33098836,2.46218472,2.75667381,3.65528701,5.85178316,7.8165315,13.7901714,15.5301712,16.5339032,17.57852884,18.549379,17.91223383,18.5075053
72,Lateralroot,0,0,0,0,0.53111261,0.92097389,1.37301165,3.22115668,4.98076749,6.323324294,8.0479003,9.205986455,9.56647632,10.94052133
72,primaryroot,1.357963,3.2094118,4.2664676,4.83178777,6.78817367,7.05612007,7.35098371,8.48044426,8.98296051,11.61839478,12.1602174,13.49017243,13.98056984,14.59625437
72,sum_root,1.357963,3.2094118,4.2664676,4.83178777,7.31928628,7.97709396,8.72399536,11.70160094,13.963728,17.94171907,20.2081177,22.69615889,23.54704616,25.5367757
74,Lateralroot,0,0,0.1267227,0.46,0.78804266,0.8024792,0.8999234,0.93589656,0.9187815,1.02256641,1.00205216,0.74009679,1.027540346,1.028564898
74,primaryroot,0.049442083,0.84669206,1.45912276,2.81720935,4.9985378,6.67218673,8.1013034,8.4168267,9.0415044,9.42078694,9.51152842,9.3483357,9.45024716,9.46486103
74,sum_root,0.049442083,0.84669206,1.58584546,2.81720935,5.78658046,7.47466593,9.0012268,9.35272326,9.9602859,10.44335335,10.51358058,10.08843249,10.47778751,10.49342593
74,Lateralroot,0,0,0.131503624,0.679299772,1.378584868,3.023129365,3.13716685,4.23490906,3.571984858,3.62295629,4.18606885,4.249818898,4.841927398,5.922500644
74,primaryroot,0.7690818,1.9022716,3.44322693,4.02105524,5.28200239,5.5675086,6.507076694,9.44217419,10.63956803,10.75860337,10.8681373,11.80229355,12.35681672,13.28450512
74,sum_root,0.7690818,1.9022716,3.574730554,4.700355012,6.660587258,8.590637965,9.644243544,13.67708325,14.21155288,14.38155966,15.05420615,16.05211245,17.19874412,19.20700576
80,Lateralroot,0,0,0.30603755,0.0326931,2.27652859,5.599721079,4.24199874,4.823318835,5.822863007,20.82514698,36.14138396,35.90305824,36.55513249,36.49995433
80,primaryroot,0.643099,1.09057248,2.4376228,3.85746551,7.02705535,9.380527,11.58900924,14.77057256,14.42347118,15.39669025,15.66245471,15.76236577,15.05768657,15.52404064
80,sum_root,0.643099,1.09057248,2.74366035,3.89015861,9.30358394,14.98024808,15.83100798,19.5938914,20.24633419,36.22183723,51.80383867,51.66542401,51.61281906,52.02399497
80,Lateralroot,0,0,0,0.086415481,0.677419906,0.545867395,1.339303575,2.415143821,5.102672323,10.42297032,14.89162818,20.74,26.59120162,26.59120162
80,primaryroot,0,0,0.30292746,3.76058806,7.1419626,9.8209643,13.3117614,16.2929951,18.6800336,21.2117632,22.83946826,25.22,27.6020892,27.6020892
80,sum_root,0,0,0.30292746,3.847003541,7.819382506,10.3668317,14.65106498,18.70813892,23.78270592,31.63473352,37.73109644,0,54.19329082,54.19329082
80,Lateralroot,0,0,0.68114705,0.84085347,3.205718539,2.809847302,5.41725792,11.08178427,21.08996287,28.90927883,39.74701874,48.30227315,64.72243041,64.72243041
80,primaryroot,0.5745369,2.8220759,9.78284979,10.67127979,14.09215062,17.86917644,19.86229631,19.87414407,21.05972155,20.94788342,20.97101244,21.1366635,20.62877091,20.62877091
80,sum_root,0.5745369,2.8220759,10.46399684,11.51213326,17.29786916,20.67902374,25.27955423,30.95592834,42.14968442,49.85716225,60.71803118,69.43893665,85.35120132,85.35120132
83,Lateralroot,0,0,0,0,0.30372442,1.24456773,4.934630805,14.70174739,32.6262101,40.25115441,50.48731229,52.25725108,64.10672465,64.10672465
83,primaryroot,0,0.38260514,5.4214144,12.6931,16.8279101,21.7519442,29.5254855,30.874874,32.888171,37.024668,38.479294,42.993573,43.808737,43.808737
83,sum_root,0,0.38260514,5.4214144,12.6931,17.13163452,22.99651193,34.46011631,45.57662139,65.5143811,77.27582241,88.96660629,95.25082408,107.9154617,107.9154617
83,Lateralroot,0,0,0.08163202,0.34519652,0.4341567,2.40626713,1.8958477,2.2702347,1.70359095,0.67334,1.657684735,1.598869313,1.786239105,1.786239105
83,primaryroot,3.51322663,5.20884951,6.5997456,12.0084859,14.1173934,16.4621355,17.6355264,16.5942134,16.9418121,20.8643361,18.4641229,21.7973532,21.8707342,21.8707342
83,sum_root,3.51322663,5.20884951,6.68137762,12.35368242,14.5515501,18.86840263,19.5313741,18.8644481,18.64540305,21.5376761,20.12180764,23.39622251,23.65697331,23.65697331
86,Lateralroot,0,0.279807098,0.82866112,1.97137333,2.695588364,2.28342914,6.86830709,10.8525144,12.79018435,14.01040065,21.62767474,29.77627202,32.68492171,34.40043257
86,primaryroot,1.7333615,4.245657,4.634163,6.515907,7.66815,8.417811,9.81059796,11.43407769,11.54872312,11.69971493,11.71090954,12.29773989,12.40250589,12.6404147
86,sum_root,1.7333615,4.525464098,5.46282412,8.48728033,10.36373836,10.70124014,16.67890505,22.28659209,24.33890747,25.71011558,33.33858428,42.07401191,45.0874276,47.04084727
88,Lateralroot,0,2.03841477,4.149706426,4.605777912,5.333386067,14.24115883,29.34978349,39.99640585,53.02263099,54.65663751,63.22839694,78.92743846,78.92743846,78.92743846
88,primaryroot,5.8400418,9.5398756,12.87232944,14.29477054,20.23297023,17.8120106,21.9964349,15.59086918,26.8237281,25.73200726,25.5121869,18.31704633,18.31704633,18.31704633
88,sum_root,5.8400418,11.57829037,17.02203587,18.90054845,25.5663563,32.05316943,51.34621839,55.58727503,79.84635909,80.38864477,88.74058384,97.24448479,97.24448479,97.24448479
89,Lateralroot,0,0,0,0,0,0,0.53844335,0.731242076,0.73297239,0.74444838,0.89195312,0.824896845,0.824896845,0.824896845
89,primaryroot,0,0,0,0.8495998,0.86183864,1.2010607,1.0336707,1.094227,1.26875,1.2706587,1.1880716,1.2853166,1.2853166,1.2853166
89,sum_root,0,0,0,0.8495998,0.86183864,1.2010607,1.57211405,1.825469076,2.00172239,2.01510708,2.08002472,2.110213445,2.110213445,2.110213445
92,Lateralroot,0,0,0,0,0,0.041120417,0.040880594,0.10552806,0.13651161,0,0.112271525,0.10154514,0.205295146,0.289308915
92,primaryroot,0,0,0,0.95904905,2.3847544,2.480885,2.3422546,2.3080935,2.252492,2.4441862,2.3383505,2.3558087,2.5512955,2.4699223
92,sum_root,0,0,0,0.95904905,2.3847544,2.522005417,2.383135194,2.41362156,2.38900361,2.4441862,2.450622025,2.45735384,2.756590646,2.759231215
97,Lateralroot,0,0,0.36049968,0.23677312,0.09982754,0.036769424,0.2531123,1.71656605,2.90042333,4.07772924,6.726478935,9.440331972,9.193646595,10.44604405
97,primaryroot,0,0.283652213,1.19699327,2.35497481,3.83553384,5.2622102,6.71741697,9.38349224,13.2028433,14.90598135,18.03123909,18.02933679,21.61493247,22.48092547
97,sum_root,0,0.283652213,1.55749295,2.59174793,3.93536138,5.298979624,6.97052927,11.10005829,16.10326663,18.98371059,24.75771803,27.46966876,30.80857907,32.92696952
97,Lateralroot,0,0,0,0,0,0,0.6034857,0.06965079,3.38721894,5.73414306,8.2420049,11.93761699,9.924404566,10.35536995
97,primaryroot,0,0,0.45476591,1.95248992,4.10213805,4.77659739,6.35507535,7.21998901,12.67307254,14.52547741,14.7835883,13.48101533,15.93880942,15.62537803
97,sum_root,0,0,0.45476591,1.95248992,4.10213805,4.77659739,6.95856105,7.2896398,16.06029148,20.25962047,23.0255932,25.41863232,25.86321399,25.98074798
98,Lateralroot,0.06165647,0.06933428,0.074073136,0.28,0.4880134,0.33757633,1.096261166,1.430410447,2.197416405,1.769763235,2.097816026,2.264966078,3.05107286,3.157489192
98,primaryroot,0.7133175,1.3035175,1.1307561,1.95,2.7697425,4.0449095,5.457623,6.714117,6.975381,8.4086485,8.357649,8.910082,9.89639,11.049171
98,sum_root,0.77497397,1.37285178,1.204829236,0,3.2577559,4.38248583,6.553884166,8.144527447,9.172797405,10.17841174,10.45546503,11.17504808,12.94746286,14.20666019
98,Lateralroot,0,0,0,0.76018833,1.132970708,1.094806297,1.189820047,1.435002905,1.744913165,2.592863056,2.163672197,2.729866885,2.512832666,2.611317491
98,primaryroot,0.49677947,0.49428037,0.83272874,2.0426342,2.8495817,3.8509395,4.9823694,6.037138,6.932949,7.098613,7.8698273,7.7924643,8.282607,8.046512
98,sum_root,0.49677947,0.49428037,0.83272874,2.80282253,3.982552408,4.945745797,6.172189447,7.472140905,8.677862165,9.691476056,10.0334995,10.52233119,10.79543967,10.65782949
99,Lateralroot,0,0,0,0.029094605,0.031319745,0.051299725,0.0875243,0.14250662,0.389959843,2.765846529,5.080361801,5.868752621,5.417657248,6.460061433
99,primaryroot,0,0.19096701,1.9547347,2.4463177,2.9340873,4.291918,5.9933896,7.4276423,8.910395,11.288295,11.808911,12.86326,13.353956,13.192627
99,sum_root,0,0.19096701,1.9547347,2.475412305,2.965407045,4.343217725,6.0809139,7.57014892,9.300354843,14.05414153,16.8892728,18.73201262,18.77161325,19.65268843
101,Lateralroot,0,0,0,0,0,0,0,6.55201774,13.61546138,18.36557071,19.61961029,28.11160435,25.84112087,26.95782755
101,primaryroot,0.5223945,0.39337528,2.8253508,4.1317363,3.8289769,4.315366,4.377977,4.187537,4.1620607,4.284569,4.1277986,4.53929,4.184738,4.0061707
101,sum_root,0.5223945,0.39337528,2.8253508,4.1317363,3.8289769,4.315366,4.377977,10.73955474,17.77752208,22.65013971,23.74740889,32.65089435,30.02585887,30.96399825
